generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,11493.1618253475,1958.8872492635,11493.1618253475,0,best_snakes/generation_000.dna,true,true
1,22676.4046695137,3268.9939016552,22676.4046695137,1,,false,true
2,33084.4994154853,5543.6871511878,33084.4994154853,2,,false,true
3,33084.4994154853,6731.5200754670,33084.4994154853,2,,false,false
4,46860.7502906947,11073.2821532991,46860.7502906947,4,,false,true
5,46860.7502906947,13807.7187413990,46860.7502906947,4,best_snakes/generation_005.dna,true,false
6,46860.7502906947,15377.0619009771,46860.7502906947,4,,false,false
7,54482.8818534665,17576.5594476486,54482.8818534665,7,,false,true
8,54482.8818534665,15487.3560321618,54482.8818534665,7,,false,false
9,54482.8818534665,14259.8384748115,54482.8818534665,7,,false,false
10,54482.8818534665,15760.5775665132,54482.8818534665,7,best_snakes/generation_010.dna,true,false
11,58863.7443621468,18863.6904695769,58863.7443621468,11,,false,true
12,58863.7443621468,16620.8879467114,58863.7443621468,11,,false,false
13,68086.2210822751,19050.7377966333,68086.2210822751,13,,false,true
14,68086.2210822751,16468.5916391495,68086.2210822751,13,,false,false
15,68086.2210822751,18937.8198048804,68086.2210822751,13,best_snakes/generation_015.dna,true,false
16,68086.2210822751,17799.2006911952,68086.2210822751,13,,false,false
17,78919.8485398440,20994.6200831652,78919.8485398440,17,,false,true
18,78919.8485398440,22543.3360987687,78919.8485398440,17,,false,false
19,78919.8485398440,19923.5120232546,78919.8485398440,17,,false,false
20,78919.8485398440,20203.5564502656,78919.8485398440,17,best_snakes/generation_020.dna,true,false
21,78919.8485398440,22644.0371489543,78919.8485398440,17,,false,false
22,78919.8485398440,25694.5575912630,78919.8485398440,17,,false,false
23,88638.6440652079,26250.4150921847,88638.6440652079,23,,false,true
24,88638.6440652079,32019.5328308529,88638.6440652079,23,,false,false
25,88738.3545567553,34921.0402713640,88738.3545567553,25,best_snakes/generation_025.dna,true,true
26,88738.3545567553,33224.0050782240,88738.3545567553,25,,false,false
27,88738.3545567553,31976.8393587547,88738.3545567553,25,,false,false
28,88738.3545567553,35955.4179696367,88738.3545567553,25,,false,false
29,88738.3545567553,35444.1317535276,88738.3545567553,25,,false,false
30,88738.3545567553,38440.0824426450,88738.3545567553,25,best_snakes/generation_030.dna,true,false
31,93190.2939479835,39707.4998107354,93190.2939479835,31,,false,true
32,113288.8044130460,42499.7962172886,113288.8044130460,32,,false,true
33,113288.8044130460,40423.4058094069,113288.8044130460,32,,false,false
34,113288.8044130460,42227.0073097801,113288.8044130460,32,,false,false
35,113288.8044130460,41930.5482166109,113288.8044130460,32,best_snakes/generation_035.dna,true,false
