generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,40450.7521106880,3355.0469831528,40450.7521106880,0,best_snakes/generation_000.dna,true,true
1,40450.7521106880,4550.2007645083,40450.7521106880,0,,false,false
2,40450.7521106880,4125.4106079718,40450.7521106880,0,,false,false
3,40450.7521106880,5061.0905811965,40450.7521106880,0,,false,false
4,40450.7521106880,5286.3216611943,40450.7521106880,0,,false,false
5,40450.7521106880,4403.1819384005,40450.7521106880,0,best_snakes/generation_005.dna,true,false
6,40450.7521106880,4882.4933699568,40450.7521106880,0,,false,false
7,49842.8961678040,5161.1200089983,49842.8961678040,7,,false,true
8,49842.8961678040,5220.0676012226,49842.8961678040,7,,false,false
9,49842.8961678040,5928.4341866966,49842.8961678040,7,,false,false
10,49842.8961678040,6599.9235469866,49842.8961678040,7,best_snakes/generation_010.dna,true,false
11,49842.8961678040,5900.8931429261,49842.8961678040,7,,false,false
12,54369.9463061680,7935.1997373505,54369.9463061680,12,,false,true
13,57992.0811652333,10741.5743554009,57992.0811652333,13,,false,true
14,57992.0811652333,9389.8904276982,57992.0811652333,13,,false,false
15,57992.0811652333,11117.1857651928,57992.0811652333,13,best_snakes/generation_015.dna,true,false
16,57992.0811652333,13952.2028810649,57992.0811652333,13,,false,false
17,61740.0568279378,16264.4676632760,61740.0568279378,17,,false,true
18,61740.0568279378,17251.7019118604,61740.0568279378,17,,false,false
19,62132.1323074098,19772.7865200533,62132.1323074098,19,,false,true
20,62132.1323074098,17375.4961558277,62132.1323074098,19,best_snakes/generation_020.dna,true,false
21,63354.9369577512,22982.4054626475,63354.9369577512,21,,false,true
22,63354.9369577512,24306.5786213085,63354.9369577512,21,,false,false
23,66796.7194730888,22876.3737731862,66796.7194730888,23,,false,true
24,70219.6849497525,23399.5212631356,70219.6849497525,24,,false,true
25,95670.0020934737,28362.3660818476,95670.0020934737,25,best_snakes/generation_025.dna,true,true
26,95670.0020934737,25266.0733025591,95670.0020934737,25,,false,false
27,95670.0020934737,26024.3616939330,95670.0020934737,25,,false,false
28,95670.0020934737,21869.9306982711,95670.0020934737,25,,false,false
29,95670.0020934737,22255.6639529179,95670.0020934737,25,,false,false
30,95670.0020934737,22971.7536691134,95670.0020934737,25,best_snakes/generation_030.dna,true,false
31,95670.0020934737,21666.9122777187,95670.0020934737,25,,false,false
32,95670.0020934737,24733.7310534262,95670.0020934737,25,,false,false
33,95670.0020934737,31060.2989234146,95670.0020934737,25,,false,false
34,95670.0020934737,26237.5712789553,95670.0020934737,25,,false,false
35,95670.0020934737,28691.3938703670,95670.0020934737,25,best_snakes/generation_035.dna,true,false
36,95670.0020934737,31792.2972873822,95670.0020934737,25,,false,false
37,95670.0020934737,30005.8261778769,95670.0020934737,25,,false,false
38,95670.0020934737,28918.9247071036,95670.0020934737,25,,false,false
39,95670.0020934737,30115.4736895921,95670.0020934737,25,,false,false
40,95670.0020934737,32256.5020541693,95670.0020934737,25,best_snakes/generation_040.dna,true,false
41,95670.0020934737,28681.1034705020,95670.0020934737,25,,false,false
42,97792.0096473885,32853.5272676725,97792.0096473885,42,,false,true
43,97792.0096473885,34208.7789943665,97792.0096473885,42,,false,false
44,97792.0096473885,37307.7091342256,97792.0096473885,42,,false,false
45,108329.2873672162,34506.0271454170,108329.2873672162,45,best_snakes/generation_045.dna,true,true
46,108329.2873672162,40431.9726734827,108329.2873672162,45,,false,false
47,108329.2873672162,29730.7307393079,108329.2873672162,45,,false,false
48,108329.2873672162,28560.6461854675,108329.2873672162,45,,false,false
49,108329.2873672162,36359.8333199826,108329.2873672162,45,,false,false
50,108329.2873672162,35754.9206402410,108329.2873672162,45,best_snakes/generation_050.dna,true,false
51,108329.2873672162,39392.6240645828,108329.2873672162,45,,false,false
52,108329.2873672162,38765.0921244139,108329.2873672162,45,,false,false
53,108329.2873672162,32455.3371517316,108329.2873672162,45,,false,false
54,108329.2873672162,34157.2206996778,108329.2873672162,45,,false,false
