selection,run,generation,best_fitness,mean_fitness,dna_file
TOURNAMENT,1,92,157219.8320491771,43387.7868544172,
TOURNAMENT,1,93,157219.8320491771,45551.5395449338,
TOURNAMENT,1,94,157219.8320491771,46423.9083476412,
TOURNAMENT,1,95,157219.8320491771,52545.3520653327,tournament/run_01/best_snakes/generation_095.dna
TOURNAMENT,1,96,157219.8320491771,47112.0164971743,
TOURNAMENT,1,97,157219.8320491771,42039.4469224356,
TOURNAMENT,1,98,157219.8320491771,53393.0610702934,
TOURNAMENT,1,99,157219.8320491771,44144.7910496988,
TOURNAMENT,1,100,157219.8320491771,48333.5118035757,tournament/run_01/best_snakes/generation_100.dna
TOURNAMENT,1,101,157219.8320491771,51278.9803460346,
TOURNAMENT,1,102,157219.8320491771,48514.0416290829,
TOURNAMENT,1,103,157219.8320491771,40475.5693501390,
TOURNAMENT,1,104,157219.8320491771,48788.6637881173,
TOURNAMENT,1,105,157219.8320491771,45478.6568011215,tournament/run_01/best_snakes/generation_105.dna
TOURNAMENT,1,106,157219.8320491771,45305.9369575296,
TOURNAMENT,1,107,157219.8320491771,48575.1600196853,
TOURNAMENT,1,108,157219.8320491771,48115.3903970913,
TOURNAMENT,1,109,157219.8320491771,43814.8589598306,
TOURNAMENT,1,110,157219.8320491771,42251.0284160921,tournament/run_01/best_snakes/generation_110.dna
TOURNAMENT,1,111,157219.8320491771,42760.1250662897,
TOURNAMENT,1,112,157219.8320491771,41706.2271904128,
TOURNAMENT,1,113,157219.8320491771,46772.8469913639,
TOURNAMENT,1,114,157219.8320491771,43367.9332464253,
TOURNAMENT,1,115,157219.8320491771,40787.9278810191,tournament/run_01/best_snakes/generation_115.dna
TOURNAMENT,1,116,157219.8320491771,41130.0181128532,
TOURNAMENT,1,117,157219.8320491771,43822.0159438845,
TOURNAMENT,1,118,157219.8320491771,46089.4774696048,
TOURNAMENT,1,119,157219.8320491771,44598.1103989238,
TOURNAMENT,1,120,157219.8320491771,43409.0935920169,tournament/run_01/best_snakes/generation_120.dna
TOURNAMENT,1,121,157219.8320491771,44599.6476901076,
TOURNAMENT,1,122,157219.8320491771,46078.5487447377,
TOURNAMENT,1,123,157219.8320491771,48084.3580538215,
TOURNAMENT,1,124,157219.8320491771,39494.1599935909,
TOURNAMENT,1,125,157219.8320491771,47145.7710281194,tournament/run_01/best_snakes/generation_125.dna
TOURNAMENT,1,126,157551.0973468104,43198.2004008782,
TOURNAMENT,1,127,157551.0973468104,49191.5481367490,
TOURNAMENT,1,128,161635.1423952543,50764.9728966562,
TOURNAMENT,1,129,161635.1423952543,41923.7904218899,
TOURNAMENT,1,130,161635.1423952543,43609.4232490792,tournament/run_01/best_snakes/generation_130.dna
TOURNAMENT,1,131,161635.1423952543,46530.7807384294,
TOURNAMENT,1,132,161635.1423952543,48329.3165570846,
