rank,selection,runs,average_best_ever_fitness,stddev_best_ever_fitness,median_best_ever_fitness,absolute_best_fitness,average_generations_executed
1,TRUNCATION,5,240276.6069880785,31050.3670952739,231917.4718075502,279355.2443649668,129.2000
2,SIGMA,5,220489.2130615060,21481.5735952769,231077.5620384782,234858.9421378690,146.8000
3,SUS,5,210682.1630643827,50764.3832062775,211504.3559102732,275810.5528892709,159.4000
4,RANK,5,198999.3002039358,31222.1025708624,202227.9719690742,224793.5048119041,104.8000
5,ROULETTE,5,188810.4540004899,48793.9219796452,187554.4845555974,240163.5531935272,140.8000
6,TOURNAMENT,5,185706.6460929491,32584.6946562742,167120.0771051484,239161.3115202594,159.8000
