generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,11493.1618253475,1958.8872492635,11493.1618253475,0,best_snakes/generation_000.dna,true,true
1,11493.1618253475,2602.6552703649,11493.1618253475,0,,false,false
2,29666.4180947762,3761.9671802953,29666.4180947762,2,,false,true
3,29666.4180947762,3262.6615724450,29666.4180947762,2,,false,false
4,29666.4180947762,3566.2165766818,29666.4180947762,2,,false,false
5,70068.2645938407,5680.2633788798,70068.2645938407,5,best_snakes/generation_005.dna,true,true
6,70068.2645938407,6065.5554836228,70068.2645938407,5,,false,false
7,70068.2645938407,7038.2939682928,70068.2645938407,5,,false,false
8,70068.2645938407,6044.1456352497,70068.2645938407,5,,false,false
9,70068.2645938407,6688.2659996549,70068.2645938407,5,,false,false
10,70068.2645938407,7898.4882789824,70068.2645938407,5,best_snakes/generation_010.dna,true,false
11,70068.2645938407,6576.5038381295,70068.2645938407,5,,false,false
12,70068.2645938407,9194.1122864116,70068.2645938407,5,,false,false
13,70068.2645938407,8820.2213824627,70068.2645938407,5,,false,false
14,70068.2645938407,9658.9846616724,70068.2645938407,5,,false,false
15,70068.2645938407,12671.0751602204,70068.2645938407,5,best_snakes/generation_015.dna,true,false
16,70068.2645938407,9920.2184304224,70068.2645938407,5,,false,false
17,70068.2645938407,12589.3694922885,70068.2645938407,5,,false,false
18,70068.2645938407,13028.9050224731,70068.2645938407,5,,false,false
19,70068.2645938407,11680.9953218102,70068.2645938407,5,,false,false
20,70068.2645938407,12362.1058098636,70068.2645938407,5,best_snakes/generation_020.dna,true,false
21,70068.2645938407,13613.0606037232,70068.2645938407,5,,false,false
22,70068.2645938407,16398.3394072238,70068.2645938407,5,,false,false
23,70068.2645938407,15299.2835885045,70068.2645938407,5,,false,false
24,70068.2645938407,14632.7684576213,70068.2645938407,5,,false,false
25,70068.2645938407,14801.4959849052,70068.2645938407,5,best_snakes/generation_025.dna,true,false
26,70068.2645938407,12177.5341354888,70068.2645938407,5,,false,false
27,70068.2645938407,14815.0267078734,70068.2645938407,5,,false,false
28,70068.2645938407,14159.1882208827,70068.2645938407,5,,false,false
29,70068.2645938407,13746.7613161649,70068.2645938407,5,,false,false
30,76100.7584017668,17193.2759645907,76100.7584017668,30,best_snakes/generation_030.dna,true,true
31,83604.4727632646,18151.6413762978,83604.4727632646,31,,false,true
32,83604.4727632646,21527.8899905062,83604.4727632646,31,,false,false
33,83604.4727632646,16342.2481527242,83604.4727632646,31,,false,false
34,83604.4727632646,17409.7148892478,83604.4727632646,31,,false,false
