generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,18466.8115149220,2451.4503114480,18466.8115149220,0,best_snakes/generation_000.dna,true,true
1,43179.2531945803,4606.0419410584,43179.2531945803,1,,false,true
2,43420.1668628870,7665.2784062660,43420.1668628870,2,,false,true
3,43420.1668628870,9555.0768495559,43420.1668628870,2,,false,false
4,43420.1668628870,10146.5539068043,43420.1668628870,2,,false,false
5,43420.1668628870,13537.5779892695,43420.1668628870,2,best_snakes/generation_005.dna,true,false
6,46935.9938892040,13997.9934211174,46935.9938892040,6,,false,true
7,54058.0493879141,18545.0412067391,54058.0493879141,7,,false,true
8,54058.0493879141,17952.4907540791,54058.0493879141,7,,false,false
9,54058.0493879141,19607.7104100129,54058.0493879141,7,,false,false
10,61858.0737135678,19905.4958698279,61858.0737135678,10,best_snakes/generation_010.dna,true,true
11,61858.0737135678,19475.3144999154,61858.0737135678,10,,false,false
12,61858.0737135678,20131.7357490206,61858.0737135678,10,,false,false
13,61858.0737135678,22108.7704716706,61858.0737135678,10,,false,false
14,62426.0869685042,23163.7730545707,62426.0869685042,14,,false,true
15,70696.3570039321,24917.3577958353,70696.3570039321,15,best_snakes/generation_015.dna,true,true
16,70696.3570039321,25463.2957167512,70696.3570039321,15,,false,false
17,70696.3570039321,22447.4422035401,70696.3570039321,15,,false,false
18,78838.1491324880,24782.5805067929,78838.1491324880,18,,false,true
19,78838.1491324880,29038.1715632188,78838.1491324880,18,,false,false
20,88659.7459928596,30049.8868476592,88659.7459928596,20,best_snakes/generation_020.dna,true,true
21,88659.7459928596,32948.0058960826,88659.7459928596,20,,false,false
22,88659.7459928596,33288.7673932247,88659.7459928596,20,,false,false
23,88740.2330725033,33311.5725361041,88740.2330725033,23,,false,true
24,88740.2330725033,35789.1108943651,88740.2330725033,23,,false,false
25,88740.2330725033,34170.3237088188,88740.2330725033,23,best_snakes/generation_025.dna,true,false
26,93025.1026684185,35146.1491825242,93025.1026684185,26,,false,true
27,93025.1026684185,31585.6322816391,93025.1026684185,26,,false,false
28,93025.1026684185,32238.6284832834,93025.1026684185,26,,false,false
29,93025.1026684185,32307.1776114111,93025.1026684185,26,,false,false
30,108812.6575922620,32316.6308250644,108812.6575922620,30,best_snakes/generation_030.dna,true,true
31,108812.6575922620,29691.4560298134,108812.6575922620,30,,false,false
