generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,11493.1618253475,1958.8872492635,11493.1618253475,0,best_snakes/generation_000.dna,true,true
1,11493.1618253475,3070.9533202829,11493.1618253475,0,,false,false
2,15207.1741570748,3150.9785071520,15207.1741570748,2,,false,true
3,28985.8945960718,4430.8936032096,28985.8945960718,3,,false,true
4,54401.3591810626,6492.6591370815,54401.3591810626,4,,false,true
5,54401.3591810626,9429.7096246078,54401.3591810626,4,best_snakes/generation_005.dna,true,false
6,66823.2099834770,11651.0101405424,66823.2099834770,6,,false,true
7,81889.1865337626,27288.6852373170,81889.1865337626,7,,false,true
8,88088.7261700849,30551.6044687182,88088.7261700849,8,,false,true
9,88088.7261700849,35051.8634295244,88088.7261700849,8,,false,false
10,95751.0862196412,38049.2350693465,95751.0862196412,10,best_snakes/generation_010.dna,true,true
11,95751.0862196412,39399.8008463315,95751.0862196412,10,,false,false
12,97773.2397980864,43666.4358887518,97773.2397980864,12,,false,true
13,98361.8307614361,41342.0585481456,98361.8307614361,13,,false,true
14,98361.8307614361,46143.3189490836,98361.8307614361,13,,false,false
15,118970.7924901408,48813.0537848677,118970.7924901408,15,best_snakes/generation_015.dna,true,true
16,118970.7924901408,45562.5624330460,118970.7924901408,15,,false,false
17,119370.2238348391,41537.1374701200,119370.2238348391,17,,false,true
18,119370.2238348391,40531.5445641529,119370.2238348391,17,,false,false
19,119370.2238348391,42676.1920895016,119370.2238348391,17,,false,false
20,119370.2238348391,40394.9734267803,119370.2238348391,17,best_snakes/generation_020.dna,true,false
21,119370.2238348391,42407.3426781775,119370.2238348391,17,,false,false
22,122176.2381054464,49510.1879959539,122176.2381054464,22,,false,true
23,126566.8691588032,47866.9091388988,126566.8691588032,23,,false,true
24,126566.8691588032,45823.5723193219,126566.8691588032,23,,false,false
25,126566.8691588032,41284.3020758601,126566.8691588032,23,best_snakes/generation_025.dna,true,false
26,126566.8691588032,46872.2717097571,126566.8691588032,23,,false,false
27,126566.8691588032,46688.9077419281,126566.8691588032,23,,false,false
28,126566.8691588032,45935.8009446144,126566.8691588032,23,,false,false
29,126566.8691588032,45971.7023420804,126566.8691588032,23,,false,false
30,145079.8872163235,54362.6953339606,145079.8872163235,30,best_snakes/generation_030.dna,true,true
31,145079.8872163235,50604.1238491741,145079.8872163235,30,,false,false
32,145079.8872163235,48259.9367141205,145079.8872163235,30,,false,false
33,145079.8872163235,52069.0956688932,145079.8872163235,30,,false,false
34,145079.8872163235,50824.9800387759,145079.8872163235,30,,false,false
35,145079.8872163235,49481.3022567256,145079.8872163235,30,best_snakes/generation_035.dna,true,false
36,145079.8872163235,53403.3384863345,145079.8872163235,30,,false,false
37,145079.8872163235,48947.9449431482,145079.8872163235,30,,false,false
38,145079.8872163235,49753.7288344352,145079.8872163235,30,,false,false
39,145079.8872163235,46893.2521420125,145079.8872163235,30,,false,false
40,145079.8872163235,45806.3821261194,145079.8872163235,30,best_snakes/generation_040.dna,true,false
41,145079.8872163235,44118.8993553222,145079.8872163235,30,,false,false
42,145079.8872163235,47209.1833235912,145079.8872163235,30,,false,false
43,145079.8872163235,41976.2014097967,145079.8872163235,30,,false,false
44,145079.8872163235,49002.5899473061,145079.8872163235,30,,false,false
45,145079.8872163235,56257.6737347270,145079.8872163235,30,best_snakes/generation_045.dna,true,false
46,145079.8872163235,54041.9219159406,145079.8872163235,30,,false,false
47,145079.8872163235,47783.1904499001,145079.8872163235,30,,false,false
48,145079.8872163235,60426.7531961641,145079.8872163235,30,,false,false
49,145079.8872163235,61048.9660129868,145079.8872163235,30,,false,false
50,145079.8872163235,54525.0164797691,145079.8872163235,30,best_snakes/generation_050.dna,true,false
51,145079.8872163235,60310.9275651534,145079.8872163235,30,,false,false
52,145079.8872163235,57946.2769122383,145079.8872163235,30,,false,false
53,145079.8872163235,53576.2239627262,145079.8872163235,30,,false,false
54,145079.8872163235,58658.5517834401,145079.8872163235,30,,false,false
55,145079.8872163235,62964.5524929809,145079.8872163235,30,best_snakes/generation_055.dna,true,false
56,145079.8872163235,59061.9498789427,145079.8872163235,30,,false,false
57,145079.8872163235,52598.0593424292,145079.8872163235,30,,false,false
58,145079.8872163235,57287.3453413301,145079.8872163235,30,,false,false
59,148376.3569292327,63025.4577573674,148376.3569292327,59,,false,true
60,148376.3569292327,59514.6489339055,148376.3569292327,59,best_snakes/generation_060.dna,true,false
61,148376.3569292327,55528.6156558431,148376.3569292327,59,,false,false
62,148376.3569292327,59960.1760113630,148376.3569292327,59,,false,false
63,148376.3569292327,59167.0152891875,148376.3569292327,59,,false,false
64,148376.3569292327,61954.6662167174,148376.3569292327,59,,false,false
65,148376.3569292327,59936.5079986941,148376.3569292327,59,best_snakes/generation_065.dna,true,false
66,148376.3569292327,60143.2938857902,148376.3569292327,59,,false,false
67,160962.9294748827,54742.8352187214,160962.9294748827,67,,false,true
68,160962.9294748827,58267.6183027260,160962.9294748827,67,,false,false
69,160962.9294748827,64948.0244535030,160962.9294748827,67,,false,false
70,160962.9294748827,60504.6647690081,160962.9294748827,67,best_snakes/generation_070.dna,true,false
71,160962.9294748827,53872.8245799409,160962.9294748827,67,,false,false
72,160962.9294748827,54522.3146058993,160962.9294748827,67,,false,false
73,160962.9294748827,60146.1220897593,160962.9294748827,67,,false,false
74,160962.9294748827,60723.1859849517,160962.9294748827,67,,false,false
75,160962.9294748827,68170.9876521437,160962.9294748827,67,best_snakes/generation_075.dna,true,false
76,160962.9294748827,67737.3424057074,160962.9294748827,67,,false,false
77,160962.9294748827,65412.0805620620,160962.9294748827,67,,false,false
78,160962.9294748827,60398.3146352932,160962.9294748827,67,,false,false
79,160962.9294748827,65558.4364718099,160962.9294748827,67,,false,false
80,160962.9294748827,54695.7104458628,160962.9294748827,67,best_snakes/generation_080.dna,true,false
81,160962.9294748827,57073.8404103252,160962.9294748827,67,,false,false
82,160962.9294748827,59101.9475762872,160962.9294748827,67,,false,false
83,160962.9294748827,62923.8192882284,160962.9294748827,67,,false,false
84,160962.9294748827,57894.5533424249,160962.9294748827,67,,false,false
85,160962.9294748827,66294.5081995664,160962.9294748827,67,best_snakes/generation_085.dna,true,false
86,160962.9294748827,64721.0340052944,160962.9294748827,67,,false,false
