generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,7393.6317989464,1531.6032436002,7393.6317989464,0,best_snakes/generation_000.dna,true,true
1,30516.2962205406,3673.6495692855,30516.2962205406,1,,false,true
2,36945.3774874924,7597.8522024499,36945.3774874924,2,,false,true
3,36945.3774874924,9332.7396662378,36945.3774874924,2,,false,false
4,36945.3774874924,9986.3069845467,36945.3774874924,2,,false,false
5,36945.3774874924,10937.4547170903,36945.3774874924,2,best_snakes/generation_005.dna,true,false
6,38910.6477884310,10120.2411619126,38910.6477884310,6,,false,true
7,38910.6477884310,10635.9254690357,38910.6477884310,6,,false,false
8,39871.9100569177,12529.7643087176,39871.9100569177,8,,false,true
9,52285.9817581520,12792.6879867178,52285.9817581520,9,,false,true
10,52285.9817581520,13290.8171821976,52285.9817581520,9,best_snakes/generation_010.dna,true,false
11,52285.9817581520,14830.9733419160,52285.9817581520,9,,false,false
12,53931.2762080243,12943.4778103562,53931.2762080243,12,,false,true
13,53931.2762080243,17862.1754053950,53931.2762080243,12,,false,false
14,54869.3097277442,18654.0376100259,54869.3097277442,14,,false,true
15,61947.1146600419,18139.5268805018,61947.1146600419,15,best_snakes/generation_015.dna,true,true
16,61947.1146600419,20279.6129384398,61947.1146600419,15,,false,false
17,71648.2196413179,22743.1507500912,71648.2196413179,17,,false,true
18,71648.2196413179,20532.3541793835,71648.2196413179,17,,false,false
19,76210.8251210119,26871.0868895122,76210.8251210119,19,,false,true
20,76210.8251210119,29501.0703169257,76210.8251210119,19,best_snakes/generation_020.dna,true,false
21,76210.8251210119,23462.3696069069,76210.8251210119,19,,false,false
22,76210.8251210119,26441.0891725978,76210.8251210119,19,,false,false
23,76210.8251210119,25547.3264852839,76210.8251210119,19,,false,false
24,76210.8251210119,24676.8871996321,76210.8251210119,19,,false,false
25,88114.8135186369,24411.0036003958,88114.8135186369,25,best_snakes/generation_025.dna,true,true
26,88114.8135186369,24858.2020469104,88114.8135186369,25,,false,false
27,88114.8135186369,27283.1368393003,88114.8135186369,25,,false,false
28,88114.8135186369,26508.6931711906,88114.8135186369,25,,false,false
29,88114.8135186369,24864.0336556688,88114.8135186369,25,,false,false
30,88114.8135186369,28463.0067416241,88114.8135186369,25,best_snakes/generation_030.dna,true,false
31,88706.8301905629,29514.5028950189,88706.8301905629,31,,false,true
32,88706.8301905629,30694.5537619701,88706.8301905629,31,,false,false
33,98522.7158436637,30928.8789180691,98522.7158436637,33,,false,true
34,98522.7158436637,32235.8133630997,98522.7158436637,33,,false,false
35,98522.7158436637,32406.7141573567,98522.7158436637,33,best_snakes/generation_035.dna,true,false
36,99787.7767717561,32991.7838466780,99787.7767717561,36,,false,true
37,99787.7767717561,33478.1764421145,99787.7767717561,36,,false,false
38,111329.5908926876,40021.5813682511,111329.5908926876,38,,false,true
39,111329.5908926876,44404.7714897638,111329.5908926876,38,,false,false
