generation,best_fitness,mean_fitness,best_ever_fitness,best_ever_generation,dna_file,is_checkpoint,is_new_record
0,20916.0475185729,2441.2506746522,20916.0475185729,0,best_snakes/generation_000.dna,true,true
1,43462.1590968435,6885.7093077037,43462.1590968435,1,,false,true
2,47297.0964037042,10152.1897073985,47297.0964037042,2,,false,true
3,59120.3004734381,15212.9715988907,59120.3004734381,3,,false,true
4,59120.3004734381,20102.7501320021,59120.3004734381,3,,false,false
5,59120.3004734381,20571.9581963249,59120.3004734381,3,best_snakes/generation_005.dna,true,false
6,66830.3605324980,20532.9180519941,66830.3605324980,6,,false,true
7,74633.9160309016,24199.8069475652,74633.9160309016,7,,false,true
8,74633.9160309016,22586.5401625337,74633.9160309016,7,,false,false
9,74633.9160309016,26675.9348727913,74633.9160309016,7,,false,false
10,74633.9160309016,24553.1654564743,74633.9160309016,7,best_snakes/generation_010.dna,true,false
11,96965.5485575945,28218.2067910619,96965.5485575945,11,,false,true
12,96965.5485575945,32225.5473567272,96965.5485575945,11,,false,false
13,96965.5485575945,32636.9264999451,96965.5485575945,11,,false,false
14,96965.5485575945,32477.3678620089,96965.5485575945,11,,false,false
15,96965.5485575945,36029.8299040434,96965.5485575945,11,best_snakes/generation_015.dna,true,false
16,96965.5485575945,33399.5265070185,96965.5485575945,11,,false,false
17,107588.8164107116,36548.0374931959,107588.8164107116,17,,false,true
18,107588.8164107116,39414.2867002853,107588.8164107116,17,,false,false
19,107588.8164107116,35872.8164337795,107588.8164107116,17,,false,false
20,107588.8164107116,38319.1601479677,107588.8164107116,17,best_snakes/generation_020.dna,true,false
21,107588.8164107116,36029.9592398851,107588.8164107116,17,,false,false
22,107588.8164107116,43595.3946408756,107588.8164107116,17,,false,false
23,107588.8164107116,44012.1728544056,107588.8164107116,17,,false,false
24,107588.8164107116,39701.0676710734,107588.8164107116,17,,false,false
25,107588.8164107116,37987.7071136795,107588.8164107116,17,best_snakes/generation_025.dna,true,false
26,109253.7898172395,43427.6380560020,109253.7898172395,26,,false,true
27,109253.7898172395,43823.5891859574,109253.7898172395,26,,false,false
28,109253.7898172395,44606.2021406402,109253.7898172395,26,,false,false
29,109253.7898172395,39920.7058592385,109253.7898172395,26,,false,false
30,109253.7898172395,43490.2685799943,109253.7898172395,26,best_snakes/generation_030.dna,true,false
31,111906.0827329326,43822.3746019939,111906.0827329326,31,,false,true
32,111906.0827329326,43526.6144660068,111906.0827329326,31,,false,false
33,111906.0827329326,39607.0559759728,111906.0827329326,31,,false,false
34,111906.0827329326,39915.0129287562,111906.0827329326,31,,false,false
35,111906.0827329326,44476.2063847217,111906.0827329326,31,best_snakes/generation_035.dna,true,false
36,112034.9025363770,48153.2618704685,112034.9025363770,36,,false,true
37,112034.9025363770,48825.6609459379,112034.9025363770,36,,false,false
38,112034.9025363770,45367.5270824873,112034.9025363770,36,,false,false
39,112034.9025363770,46753.7732335381,112034.9025363770,36,,false,false
40,112034.9025363770,50943.3726055900,112034.9025363770,36,best_snakes/generation_040.dna,true,false
41,113822.9551362655,51914.0116311245,113822.9551362655,41,,false,true
42,113822.9551362655,48943.6243951201,113822.9551362655,41,,false,false
43,113822.9551362655,50974.1760801450,113822.9551362655,41,,false,false
44,113822.9551362655,48369.6244415275,113822.9551362655,41,,false,false
45,113822.9551362655,43678.4420410489,113822.9551362655,41,best_snakes/generation_045.dna,true,false
46,113822.9551362655,48361.7430275507,113822.9551362655,41,,false,false
47,114502.0778504016,50519.7198962312,114502.0778504016,47,,false,true
48,114502.0778504016,48030.4659341438,114502.0778504016,47,,false,false
49,114502.0778504016,51046.2316894538,114502.0778504016,47,,false,false
50,114502.0778504016,52072.1486921985,114502.0778504016,47,best_snakes/generation_050.dna,true,false
51,117575.2549872558,46983.7478448883,117575.2549872558,51,,false,true
52,117575.2549872558,44189.8130281259,117575.2549872558,51,,false,false
53,119784.4384978646,53583.7127529499,119784.4384978646,53,,false,true
54,119784.4384978646,49423.9258925928,119784.4384978646,53,,false,false
55,119784.4384978646,54678.7742188080,119784.4384978646,53,best_snakes/generation_055.dna,true,false
56,119784.4384978646,54131.7406303648,119784.4384978646,53,,false,false
57,121917.1693483683,53264.6563300695,121917.1693483683,57,,false,true
